GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ExponentialBackoffRetryPolicy,25,15,2,0,2,5,3,1,2,1
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.31.new AsyncCallback.ChildrenCallback() {...},10,27,1,1,1,5,1,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.Builder,22,158,3,7,10,35,5,10,2,8
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.ZkRetryRunnable,4,23,1,1,1,8,1,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooWorker,48,135,14,14,8,41,14,7,1,6
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.18.new AsyncCallback.StatCallback() {...},37,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.17.new AsyncCallback.StatCallback() {...},37,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.8.new AsyncCallback.VoidCallback() {...},10,26,1,1,1,5,1,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.28.new AsyncCallback.Children2Callback() {...},38,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},23,29,1,1,2,4,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},22,29,1,1,2,4,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},26,49,1,1,2,6,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},53,0,2,0,7,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},24,34,1,1,2,4,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},75,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},74,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},93,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},70,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},34,59,1,1,2,6,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},25,49,1,1,2,6,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},54,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},7,24,1,1,2,4,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},59,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},74,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},58,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},51,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},28,54,1,1,2,6,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new Callable() {...},27,6,0,0,6,1,1,1,1,1
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},51,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},75,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},87,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},64,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},31,39,1,1,2,4,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},18,44,1,1,2,6,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},59,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},75,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},74,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},25,34,1,1,2,4,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},52,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},26,49,1,1,2,6,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},25,49,1,1,2,6,2,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.24.new AsyncCallback.StatCallback() {...},10,27,1,1,1,5,1,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.22.new AsyncCallback.DataCallback() {...},38,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.32.new AsyncCallback.ChildrenCallback() {...},10,27,1,1,1,5,1,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,BoundExponentialBackoffRetryPolicy,8,8,0,0,1,3,1,1,1,1
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperWatcherBase,99,140,14,8,28,38,15,9,4,8
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient,581,429,33,7,110,80,52,23,32,23
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.7.new AsyncCallback.StatCallback() {...},37,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.5.new AsyncCallback.ACLCallback() {...},38,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.27.new AsyncCallback.Children2Callback() {...},10,28,1,1,1,5,1,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.14.new AsyncCallback.VoidCallback() {...},10,26,1,1,1,5,1,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.3.new AsyncCallback.MultiCallback() {...},37,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.12.new AsyncCallback.Create2Callback() {...},38,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.1.new ZooWorker.ZooCallable() {...},75,0,0,0,14,0,3,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.21.new AsyncCallback.DataCallback() {...},38,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.10.new AsyncCallback.StringCallback() {...},10,27,1,1,1,5,1,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,AuditorElector,343,0,16,0,76,0,22,0,14,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,Auditor.ProcessLostFragmentsCb,100,0,12,0,29,0,8,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,Auditor,793,0,38,0,206,0,41,0,22,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,AutoRecoveryMain.new Watcher() {...},19,0,2,0,5,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,AutoRecoveryMain.new Thread() {...},26,0,4,0,6,0,4,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,ReplicationEnableCb,33,0,4,0,12,0,6,0,4,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,Auditor.4.new Runnable() {...},23,0,0,0,5,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,ReplicationException.CompatibilityException,9,0,0,0,4,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,Auditor.new Runnable() {...},19,0,0,0,5,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,Auditor.new ThreadFactory() {...},28,0,0,0,4,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,Auditor.new Runnable() {...},121,0,10,0,29,0,7,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,Auditor.new Runnable() {...},217,0,20,0,45,0,12,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,Auditor.new BookkeeperInternalCallbacks.Processor() {...},150,0,6,0,39,0,5,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,Auditor.new Runnable() {...},68,0,2,0,23,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,Auditor.new Runnable() {...},19,0,2,0,5,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,Auditor.new AsyncCallback.VoidCallback() {...},20,0,0,0,4,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,BookieLedgerIndexer,101,0,6,0,26,0,7,0,4,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,AuditorElector.ElectionComparator,31,0,4,0,6,0,4,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,ReplicationWorker.CheckerCallback,25,0,0,0,8,0,3,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,ReplicationException.UnavailableException,9,0,0,0,4,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,ReplicationException,9,0,0,0,4,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,BookieLedgerIndexer.1.new BookkeeperInternalCallbacks.GenericCallback() {...},84,0,8,0,16,0,6,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,AutoRecoveryMain,422,0,18,0,125,0,24,0,15,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,ReplicationException.BKAuditException,9,0,0,0,4,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,BookieLedgerIndexer.new AsyncCallback.VoidCallback() {...},22,0,0,0,4,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,BookieLedgerIndexer.new BookkeeperInternalCallbacks.Processor() {...},24,0,0,0,4,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,Auditor.LostBookieRecoveryDelayChangedCb,22,0,0,0,8,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,Auditor.3.new Runnable() {...},23,0,0,0,5,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,AuditorElector.new ThreadFactory() {...},23,0,0,0,2,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,AuditorElector.new Runnable() {...},60,0,4,0,12,0,4,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,AuditorElector.new Runnable() {...},170,0,8,0,36,0,6,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,AuditorElector.ElectionWatcher,25,0,4,0,7,0,4,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,ReplicationWorker.new TimerTask() {...},109,0,10,0,33,0,7,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,AutoRecoveryMain.AutoRecoveryDeathWatcher,44,0,4,0,14,0,4,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.replication,ReplicationWorker,532,0,34,0,166,0,32,0,15,0
Apache BookKeeper :: Server,org.apache.bookkeeper.client.api,Handle,9,0,0,0,3,0,1,0,1,0
Apache BookKeeper :: Server,org.apache.bookkeeper.client.api,WriteAdvHandle,20,0,0,0,3,0,3,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.client.api,BKException,67,12,32,1,33,5,33,2,1,2
Apache BookKeeper :: Server,org.apache.bookkeeper.client.api,BookKeeper,5,0,0,0,1,0,1,0,1,0
Apache BookKeeper :: Server,org.apache.bookkeeper.client.api,DigestType,24,0,0,0,3,0,1,0,1,0
Apache BookKeeper :: Server,org.apache.bookkeeper.client.api,WriteHandle,17,0,0,0,3,0,3,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.server,Main,593,0,36,0,147,0,27,0,9,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LedgerLayout,151,159,14,6,25,38,15,10,5,10
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractHierarchicalLedgerManager.1.new AsyncCallback.ChildrenCallback() {...},63,0,2,0,9,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.MsLedgerManager.ReadLedgerMetadataTask,127,0,18,0,26,0,12,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LongZkLedgerIdGenerator,400,0,32,0,100,0,34,0,17,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LegacyHierarchicalLedgerManager.2.new BookkeeperInternalCallbacks.Processor() {...},47,0,0,0,4,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.MsLedgerManager.new MetastoreCallback() {...},55,0,6,0,12,0,5,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.MsLedgerManager.new MetastoreCallback() {...},61,0,4,0,9,0,4,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.MsLedgerManager.new MetastoreCallback() {...},78,0,6,0,15,0,5,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.MsLedgerManager.new MetastoreCallback() {...},125,0,4,0,20,0,4,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.MsLedgerManager.new MetastoreCallback() {...},41,0,4,0,9,0,4,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.MsLedgerManager.new MetastoreCursor.ReadEntriesCallback() {...},117,0,6,0,20,0,5,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.MsLedgerManager.new Runnable() {...},40,0,0,0,3,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LedgerManagerFactory,230,111,30,12,43,34,21,5,1,4
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LegacyHierarchicalLedgerManager.new ThreadLocal() {...},7,0,0,0,2,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LegacyHierarchicalLedgerManager.new BookkeeperInternalCallbacks.Processor() {...},59,0,2,0,7,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,CleanupLedgerManager,163,107,14,4,42,27,16,6,7,6
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.MsLedgerManager.MSLedgerRangeIterator.new MetastoreCallback() {...},28,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,FlatLedgerManager.new LedgerManager.LedgerRangeIterator() {...},4,74,2,8,1,19,2,7,0,4
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,FlatLedgerManager,21,64,4,0,3,15,4,5,2,5
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,ZkLedgerIdGenerator.new AsyncCallback.StringCallback() {...},37,48,3,3,9,8,3,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,ZkLedgerIdGenerator.1.new AsyncCallback.VoidCallback() {...},13,17,2,2,3,4,2,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,HierarchicalLedgerManager.HierarchicalLedgerRangeIterator,33,0,6,0,8,0,6,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,HierarchicalLedgerManager,93,0,2,0,15,0,7,0,6,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractZkLedgerManager.new AsyncCallback.VoidCallback() {...},73,0,10,0,18,0,7,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractZkLedgerManager.new AsyncCallback.StringCallback() {...},31,33,3,1,6,5,2,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractZkLedgerManager.new BookkeeperInternalCallbacks.GenericCallback() {...},94,0,8,0,15,0,6,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractZkLedgerManager.new AsyncCallback.StatCallback() {...},16,39,2,2,3,6,2,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractZkLedgerManager.new AsyncCallback.DataCallback() {...},125,0,8,0,24,0,6,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractHierarchicalLedgerManager.AsyncListProcessor,47,0,4,0,12,0,4,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,FlatLedgerManagerFactory,66,40,5,1,13,10,5,6,2,6
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.MsLedgerManager.ReadLedgerMetadataTask.new Runnable() {...},40,0,2,0,7,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LongHierarchicalLedgerManager.LongHierarchicalLedgerRangeIterator,481,0,48,0,108,0,32,0,8,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LedgerManager.LedgerRange,5,21,0,0,1,6,1,4,1,4
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.AsyncSetProcessor.1.new Runnable() {...},21,0,0,0,3,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,CleanupLedgerManager.CleanupGenericCallback,0,39,2,2,0,9,2,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.MsLedgerManager.MSLedgerRangeIterator,95,0,4,0,23,0,5,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.SyncResult,33,0,2,0,14,0,6,0,5,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,HierarchicalLedgerManagerFactory,30,0,0,0,4,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,ZkLedgerUnderreplicationManager,1469,0,78,0,349,0,71,0,32,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,ZkLedgerIdGenerator,17,77,1,1,3,19,1,7,0,7
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LongZkLedgerIdGenerator.new BookkeeperInternalCallbacks.GenericCallback() {...},116,0,14,0,19,0,10,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LongZkLedgerIdGenerator.new BookkeeperInternalCallbacks.GenericCallback() {...},27,0,2,0,5,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LongZkLedgerIdGenerator.new AsyncCallback.StringCallback() {...},64,0,0,0,17,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,CleanupLedgerManager.ClosedLedgerRangeIterator,10,0,0,0,2,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.MsLedgerManager.7.new AsyncCallback.VoidCallback() {...},70,0,2,0,8,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LegacyHierarchicalLedgerManagerFactory,100,0,6,0,21,0,11,0,8,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractHierarchicalLedgerManager.new AsyncCallback.VoidCallback() {...},62,0,2,0,8,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.MsLedgerManager,407,0,23,0,89,0,25,0,13,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,ZkLedgerUnderreplicationManager.Lock,15,0,0,0,6,0,3,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LegacyHierarchicalLedgerManager.HierarchicalLedgerRangeIterator,285,0,32,0,66,0,22,0,6,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LongHierarchicalLedgerManagerFactory,11,0,0,0,2,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.AsyncSetProcessor,39,0,4,0,11,0,4,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractZkLedgerManager.ReadLedgerMetadataTask,129,0,18,0,26,0,12,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,CleanupLedgerManager.new BookkeeperInternalCallbacks.GenericCallback() {...},24,0,0,0,3,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,CleanupLedgerManager.new AsyncCallback.VoidCallback() {...},26,0,2,0,4,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LongHierarchicalLedgerManager.RecursiveProcessor,98,0,6,0,16,0,5,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,HierarchicalLedgerManager.new AsyncCallback.VoidCallback() {...},47,0,2,0,5,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LongHierarchicalLedgerManager,136,0,6,0,14,0,12,0,9,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractHierarchicalLedgerManager,130,0,18,0,28,0,14,0,5,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractZkLedgerManager.ReadLedgerMetadataTask.new Runnable() {...},40,0,2,0,7,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractZkLedgerManager,330,176,46,15,82,44,33,12,7,7
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractHierarchicalLedgerManager.AsyncListProcessor.new AsyncCallback.VoidCallback() {...},79,0,4,0,12,0,4,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory.AsyncSetProcessor.new AsyncCallback.VoidCallback() {...},68,0,4,0,11,0,4,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LongZkLedgerIdGenerator.HighOrderLedgerIdGenPathStatus,34,0,0,0,4,0,1,0,1,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,MSLedgerManagerFactory,219,0,12,0,49,0,19,0,13,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,ZkLedgerUnderreplicationManager.new SubTreeCache.TreeProvider() {...},15,0,0,0,2,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,ZkLedgerUnderreplicationManager.new Iterator() {...},149,0,22,0,30,0,16,0,5,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,ZkLedgerUnderreplicationManager.new Watcher() {...},33,0,10,0,8,0,7,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,ZkLedgerUnderreplicationManager.new Watcher() {...},19,0,2,0,4,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,ZkLedgerUnderreplicationManager.new Watcher() {...},19,0,2,0,4,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,AbstractHierarchicalLedgerManager.AsyncListProcessor.1.new Runnable() {...},21,0,0,0,3,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.meta,LegacyHierarchicalLedgerManager,124,0,8,0,15,0,13,0,9,0
Apache BookKeeper :: Server,org.apache.bookkeeper.server.component,ServerLifecycleComponent,79,0,2,0,13,0,5,0,4,0
Apache BookKeeper :: Server,org.apache.bookkeeper.server.conf,BookieConfiguration,11,0,0,0,4,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.bookie,BookieException.UnknownBookieIdException,9,0,0,0,4,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.bookie,TransactionalEntryLogCompactor.UpdateIndexPhase.new EntryLogger.EntryLogScanner() {...},87,0,4,0,12,0,5,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.bookie,BookieShell.SimpleTestCmd,162,0,4,0,31,0,7,0,5,0
Apache BookKeeper :: Server,org.apache.bookkeeper.bookie,BookieException.MetadataStoreException,20,0,0,0,8,0,4,0,4,0
Apache BookKeeper :: Server,org.apache.bookkeeper.bookie,EntryLogger.new EntryLogger.EntryLogScanner() {...},21,0,0,0,4,0,3,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.bookie,EntryLogger.new LedgerDirsManager.LedgerDirsListener() {...},37,6,8,0,11,1,11,1,7,1
Apache BookKeeper :: Server,org.apache.bookkeeper.bookie,EntryLogger.new FileFilter() {...},0,11,0,0,0,2,0,2,0,2
Apache BookKeeper :: Server,org.apache.bookkeeper.bookie,EntryLogger.new ThreadLocal() {...},8,6,0,0,3,1,1,1,1,1
Apache BookKeeper :: Server,org.apache.bookkeeper.bookie,Journal.LastLogMark,66,140,5,5,14,33,4,8,1,6
Apache BookKeeper :: Server,org.apache.bookkeeper.bookie,SkipListArena.MemorySlice,18,15,0,0,1,6,1,3,1,3
Apache BookKeeper :: Server,org.apache.bookkeeper.bookie,FileSystemUpgrade.new FilenameFilter() {...},83,0,20,0,21,0,13,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.bookie,FileSystemUpgrade.new FilenameFilter() {...},19,0,4,0,3,0,4,0,2,0
